node_id,name,in_corpus,case,year
561287,"Collector of Bombay v. Municipal Corporation  of
the City of Bombay and others",True,Collector_Of_Bombay_vs_Municipal_Corporation_Of_The_City_Of_on_5_October_1951,1951.0
565781,s. 115,False,,
123952987,section 8,False,,
1880129,"The
Municipal Corporation of the City of Bombay v. The Secretary
of State",False,,
482978,section  8,False,,
1536922,"Kamalavahooji Maharaj v. The Collector of
Bombay",False,,
508866,Ariff v. Jadunath,False,,
1647933,Mian Pir Bux  v.	 Sardar	 Ma-,False,,
1154330,section	 28,False,,
990746,,True,Commissioner_Of_Excess_Profits_vs_Sri_Lakshmi_Silk_Mills_Ltd_on_18_September_1951,1951.0
1814791,,True,In_Re_The_Delhi_Laws_Act_1912_The_vs_The_Part_C_States_Laws_Act_1950_on_23_May_1951,1951.0
476269,"Delhi Laws Act, 1912",False,,
230117,Section 7,False,,
4015076,Art. 143 (1),False,,
789287,section  2,False,,
127613744,section 1,False,,
210155,article 143,False,,
254952,Section 7,False,,
1925530,Delhi Laws Act,False,,
117780,article 257,False,,
1369884,"Councils
Act",False,,
1699496,section 445,False,,
1532014,section 3,False,,
1300179,article 357,False,,
8019,Article 356,False,,
371725,article 357 (1) (a),False,,
1020147,section 2,False,,
22282476,Section 94,False,,
137821641,sections 99,False,,
297117,article 239,False,,
1823046,article 240,False,,
23871628,S. 189,False,,
149329010,S. 43,False,,
118040992,S. 230,False,,
41828204,S. 77,False,,
35376178,Section 56,False,,
1618955,section 133,False,,
24598525,"By	 the
Charter	 Act",False,,
7484646,Section 100(4),False,,
173668974,Section 46 (3),False,,
493558,"article
246 (4)",False,,
516789,articles  353 (b),False,,
159413968,S. 141,False,,
3586353,S. 138,False,,
68249167,Sections 5,False,,
13222347,5A,False,,
41202029,Section 4,False,,
106667942,"The Scheduled Districts Act, 1874",False,,
600234,Empress v.  Burah,False,,
710884,sections 5,False,,
1003447,section 1 (3),False,,
1134140,section 108,False,,
1270258,article 248.,False,,
235968,Sec. 4,False,,
105362878,section 133,False,,
854952,sections 51,False,,
1059693,Customs Act,False,,
560714,section 33,False,,
1345908,section	 3,False,,
698317,article 53 (3) (b).,False,,
990669,article 77,False,,
1119830,Article 79,False,,
1090693,"Article
123",False,,
999013,Article 145 (1) (a),False,,
1682952,article 217,False,,
1331149,article 227.,False,,
452231,article 243,False,,
497125,Article 250,False,,
667558,Article  252,False,,
373660,article 258,False,,
896717,"article
349",False,,
818031,Article 353,False,,
9942526,section 15,False,,
142938012,Section 22,False,,
37203826,S. 304,False,,
538544,sections 68,False,,
72173496,73,False,,
25582677,section 7,False,,
70107672,Section 68,False,,
1991903,"Cantonments	Act,
1924",False,,
1143594,section 30,False,,
189421038,section	 39,False,,
356807,Aircraft Act,False,,
138507568,"(Extension  of  Laws) Act, 1947",False,,
